
%7|1564074177.305|RECV|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap: Received ApiVersionResponse (v0, 276 bytes, CorrId 1, rtt 5.19ms)
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap: Broker API support:
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey Produce (0) Versions 0..7
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey Fetch (1) Versions 0..11
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey Offset (2) Versions 0..5
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey Metadata (3) Versions 0..8
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey LeaderAndIsr (4) Versions 0..2
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey StopReplica (5) Versions 0..1
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey UpdateMetadata (6) Versions 0..5
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey ControlledShutdown (7) Versions 0..2
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey OffsetCommit (8) Versions 0..7
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey OffsetFetch (9) Versions 0..5
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey GroupCoordinator (10) Versions 0..2
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey JoinGroup (11) Versions 0..5
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey Heartbeat (12) Versions 0..3
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey LeaveGroup (13) Versions 0..2
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey SyncGroup (14) Versions 0..3
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey DescribeGroups (15) Versions 0..3
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey ListGroups (16) Versions 0..2
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey SaslHandshake (17) Versions 0..1
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey ApiVersion (18) Versions 0..2
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey CreateTopics (19) Versions 0..3
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey DeleteTopics (20) Versions 0..3
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey DeleteRecords (21) Versions 0..1
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey InitProducerId (22) Versions 0..1
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey OffsetForLeaderEpoch (23) Versions 0..3
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey AddPartitionsToTxn (24) Versions 0..1
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey AddOffsetsToTxn (25) Versions 0..1
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey EndTxn (26) Versions 0..1
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey WriteTxnMarkers (27) Versions 0..0
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey TxnOffsetCommit (28) Versions 0..2
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey DescribeAcls (29) Versions 0..1
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey CreateAcls (30) Versions 0..1
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey DeleteAcls (31) Versions 0..1
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey DescribeConfigs (32) Versions 0..2
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey AlterConfigs (33) Versions 0..1
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey AlterReplicaLogDirs (34) Versions 0..1
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey DescribeLogDirs (35) Versions 0..1
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey SaslAuthenticate (36) Versions 0..1
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey CreatePartitions (37) Versions 0..1
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey CreateDelegationToken (38) Versions 0..1
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey RenewDelegationToken (39) Versions 0..1
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey ExpireDelegationToken (40) Versions 0..1
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey DescribeDelegationToken (41) Versions 0..1
%7|1564074177.305|APIVERSION|rdkafka#consumer-1| [thrd:y,y.y.y:9092/bootstrap]: y,y.y.y:9092/bootstrap:   ApiKey DeleteGroups (42) Versions 0..1
